title,description,steps_to_reproduce,expected_result,actual_result,environment,module,severity,priority,category
SQL Injection security vulnerability in login authentication field (on mobile Safari browser),Unsanitized user input in security field allows unauthenticated SQL injection exploit against user database. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: SQL Injection security vulnerability in login authentication field
2. Observe result on mobile Safari browser",Security input sanitization and SQL parameterization should block injection payload,Security authentication check bypassed allowing unauthorized access,Staging,Security,Critical,P1,Security
Cross-Site Scripting XSS security vulnerability in comment box (observed in staging deployment),Stored XSS security vulnerability executes arbitrary JavaScript in victim browser session. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Cross-Site Scripting XSS security vulnerability in comment box
2. Observe result observed in staging deployment",Security HTML tag escaping should sanitize XSS payload,Malicious XSS script tag executes on profile page,Staging,Security,High,P2,Security
Missing security HTTP Content-Security-Policy headers (under high concurrent traffic),Application security response headers lack CSP protection against frame injection. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: Missing security HTTP Content-Security-Policy headers
2. Observe result under high concurrent traffic",Include security response headers CSP and X-Frame-Options,Security response headers missing CSP directives,Development,Security,Medium,P3,Security
Verbose server header leaks proxy security version info (on mobile Safari browser),HTTP Server security response header reveals backend proxy version string. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Verbose server header leaks proxy security version info
2. Observe result on mobile Safari browser",Mask security server version strings in production,Header leaks Server version information,Production,Security,Low,P4,Security
Payment gateway deadlock causing duplicate debit charge (observed in staging deployment),Concurrent payment checkout requests cause deadlock resulting in double credit card debit. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Payment gateway deadlock causing duplicate debit charge
2. Observe result observed in staging deployment",Atomic payment transaction lock prevents duplicate charges,Payment fails with 500 error and debits customer twice,Production,Payment,Critical,P1,Payment
Stripe payment API webhook notification signature failure (after v1.4 patch release),Asynchronous payment gateway notification webhook drops checkout completion events. Note: Defect was verified after v1.4 patch release.,"1. Reproduce: Stripe payment API webhook notification signature failure
2. Observe result after v1.4 patch release",Validate Stripe payment webhook signature correctly,Payment status remains pending after credit card charge,Production,Payment,High,P2,Payment
Currency symbol display mismatch in checkout payment summary (in microservice container),Payment conversion calculates correctly but displays wrong currency symbol prefix. Note: Defect was verified in microservice container.,"1. Reproduce: Currency symbol display mismatch in checkout payment summary
2. Observe result in microservice container",Display correct currency symbol on payment screen,Displays $ instead of EUR symbol for payment total,Development,Payment,Medium,P3,Payment
Saved payment card mask displays 14 visible digits (on mobile Safari browser),Credit card payment mask displays 14 visible digits on account billing page. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Saved payment card mask displays 14 visible digits
2. Observe result on mobile Safari browser",Mask all but last 4 payment card numbers,Payment card digits exposed on screen,Production,Payment,Low,P4,Payment
Database connection pool leak exhausts active DB connections (under high concurrent traffic),Unclosed database ORM sessions leak database connection pool capacity causing API crash. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: Database connection pool leak exhausts active DB connections
2. Observe result under high concurrent traffic",Recycle idle database connection pool threads automatically,Database connection pool timeout error,Production,Database,Critical,P1,Database
Missing composite database index causes full table scan (during load test run),Database query plan performs full table scan on 10 million database rows. Note: Defect was verified during load test run.,"1. Reproduce: Missing composite database index causes full table scan
2. Observe result during load test run",Execute database query using composite index under 50ms,Database query latency spikes to 9 seconds,Staging,Database,High,P2,Database
Read replica database synchronization delay lag (on mobile Safari browser),Replication lag on secondary database instance returns stale database records. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Read replica database synchronization delay lag
2. Observe result on mobile Safari browser",Database replication sync delay under 200ms,Stale database records returned to read query,Staging,Database,Medium,P3,Database
Database migration script outputs deprecated syntax warning (after v1.4 patch release),Database schema migration succeeds but logs SQL index syntax warning. Note: Defect was verified after v1.4 patch release.,"1. Reproduce: Database migration script outputs deprecated syntax warning
2. Observe result after v1.4 patch release",Clean database migration execution logs,Deprecated database index syntax warning logged,Development,Database,Low,P4,Database
Memory leak during PDF export triggers OOM performance crash (in microservice container),Exporting PDF documents consumes 4GB heap RAM memory causing OOM performance killer crash. Note: Defect was verified in microservice container.,"1. Reproduce: Memory leak during PDF export triggers OOM performance crash
2. Observe result in microservice container",Optimize PDF stream memory allocation under 250MB,Performance crash with OutOfMemory error,Development,Performance,Critical,P1,Performance
High CPU utilization spike during concurrent CSV file parsing (intermittently after session timeout),Parsing 500MB CSV file locks CPU performance threads causing API response lag. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: High CPU utilization spike during concurrent CSV file parsing
2. Observe result intermittently after session timeout",Process CSV parsing in async background queue to maintain performance,Server CPU spikes to 100% performance degradation,Production,Performance,High,P2,Performance
N+1 SQL query loop in list view degrades page load performance (under high concurrent traffic),Looping over table records triggers 150 individual SQL queries degrading performance. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: N+1 SQL query loop in list view degrades page load performance
2. Observe result under high concurrent traffic",Use eager loading SQL joins for page performance,150 separate queries degrade load performance,Production,Performance,Medium,P3,Performance
